SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2017-18,Playoffs,WAS,Washington Wizards,6,2,4,240.0,252.3,252.3,23.3,2.2,42.0,54.8,26.2,9.2,10.4
2018-19,Regular+Season,ATL,Atlanta Hawks,82,29,53,242.1,300.0,300.0,25.8,2.8,48.4,64.7,29.9,8.6,10.0
2018-19,Regular+Season,BOS,Boston Celtics,82,49,33,241.2,296.4,296.4,26.3,3.7,47.6,65.2,30.8,8.9,10.4
2018-19,Regular+Season,BKN,Brooklyn Nets,82,42,40,243.7,309.0,309.0,23.8,2.7,45.1,59.9,27.8,7.7,9.0
2018-19,Regular+Season,CHA,Charlotte Hornets,82,39,43,241.8,290.0,290.0,23.2,2.9,42.3,58.3,27.3,8.0,9.4
2018-19,Regular+Season,CHI,Chicago Bulls,81,22,59,242.8,284.4,284.3,22.0,1.8,39.0,53.1,24.4,7.7,8.6
2018-19,Regular+Season,CLE,Cleveland Cavaliers,82,19,63,240.9,284.3,281.0,20.7,2.3,38.8,51.1,23.7,7.3,8.3
2018-19,Regular+Season,DAL,Dallas Mavericks,82,33,49,241.2,313.6,313.6,23.4,3.1,44.2,59.0,27.5,7.5,8.8
2018-19,Regular+Season,DEN,Denver Nuggets,82,54,28,240.6,312.4,309.1,27.4,3.7,47.2,66.5,32.0,8.8,10.2
2018-19,Regular+Season,DET,Detroit Pistons,82,41,41,242.1,307.1,307.1,22.5,3.1,43.8,56.5,26.5,7.3,8.6
2018-19,Regular+Season,GSW,Golden State Warriors,82,57,25,241.5,320.2,316.5,29.4,3.9,52.6,72.2,34.6,9.2,10.8
2018-19,Regular+Season,HOU,Houston Rockets,82,53,29,241.8,246.0,246.0,21.2,2.5,41.2,54.1,24.6,8.6,10.0
2018-19,Regular+Season,IND,Indiana Pacers,82,48,34,240.3,307.3,307.3,26.0,3.3,45.0,62.2,30.1,8.4,9.8
2018-19,Regular+Season,LAC,LA Clippers,82,48,34,241.8,303.3,303.3,24.0,2.7,40.9,59.1,28.0,7.9,9.2
2018-19,Regular+Season,LAL,Los Angeles Lakers,82,37,45,241.2,277.7,277.7,25.6,3.0,47.2,61.4,29.6,9.2,10.7
2018-19,Regular+Season,MEM,Memphis Grizzlies,82,33,49,242.4,329.8,329.8,23.9,3.7,45.1,58.8,29.0,7.3,8.8
2018-19,Regular+Season,MIA,Miami Heat,82,39,43,240.6,301.3,301.2,24.3,2.8,46.4,60.7,28.2,8.1,9.4
2018-19,Regular+Season,MIL,Milwaukee Bucks,82,60,22,241.2,284.5,284.5,26.0,2.8,46.8,65.1,29.6,9.2,10.4
2018-19,Regular+Season,MIN,Minnesota Timberwolves,82,36,46,241.8,290.4,290.4,24.6,3.0,44.4,60.3,28.6,8.5,9.9
2018-19,Regular+Season,NOP,New Orleans Pelicans,82,33,49,240.9,309.7,309.6,27.0,2.9,47.8,65.5,31.0,8.7,10.0
2018-19,Regular+Season,NYK,New York Knicks,81,17,64,241.2,293.4,293.4,20.1,2.4,39.3,50.3,23.3,6.9,7.9
2018-19,Regular+Season,OKC,Oklahoma City Thunder,81,48,33,242.2,242.4,242.4,23.4,2.2,45.0,58.0,26.7,9.7,11.0
2018-19,Regular+Season,ORL,Orlando Magic,80,40,40,241.3,283.6,283.6,25.7,3.4,49.1,63.1,30.0,9.1,10.6
2018-19,Regular+Season,PHI,Philadelphia 76ers,81,51,30,241.5,316.8,316.8,26.9,3.4,49.7,66.4,31.4,8.5,9.9
2018-19,Regular+Season,PHX,Phoenix Suns,82,19,63,242.4,306.3,306.2,23.9,2.8,44.7,57.5,27.6,7.8,9.0
2018-19,Regular+Season,POR,Portland Trail Blazers,82,53,29,242.1,281.7,278.6,23.0,2.8,42.1,56.8,27.0,8.2,9.6
2018-19,Regular+Season,SAC,Sacramento Kings,82,39,43,240.6,292.0,292.0,25.4,2.9,44.6,62.1,29.3,8.7,10.0
2018-19,Regular+Season,SAS,San Antonio Spurs,82,48,34,241.5,280.8,280.8,24.5,3.2,40.7,58.9,28.2,8.7,10.0
2018-19,Regular+Season,TOR,Toronto Raptors,82,58,24,242.4,298.6,298.6,25.4,4.0,46.1,63.4,30.4,8.5,10.2
2018-19,Regular+Season,UTA,Utah Jazz,81,50,31,240.9,310.7,310.7,26.1,3.8,49.0,65.9,31.7,8.4,10.2
2018-19,Regular+Season,WAS,Washington Wizards,81,31,50,243.1,293.1,293.1,26.3,3.5,48.1,65.4,31.0,9.0,10.6
2018-19,Playoffs,BOS,Boston Celtics,9,5,4,240.0,274.6,274.6,21.4,3.8,40.1,53.9,25.6,7.8,9.3
2018-19,Playoffs,BKN,Brooklyn Nets,5,1,4,240.0,254.6,254.6,19.2,2.2,39.8,47.6,23.4,7.5,9.2
2018-19,Playoffs,DEN,Denver Nuggets,14,7,7,247.1,310.4,310.4,24.0,3.1,41.6,60.2,29.3,7.7,9.4
2018-19,Playoffs,DET,Detroit Pistons,4,0,4,240.0,277.8,277.8,23.0,3.0,48.3,58.3,27.3,8.3,9.8
2018-19,Playoffs,GSW,Golden State Warriors,22,14,8,242.3,310.1,310.1,28.4,5.4,51.4,69.1,35.3,9.2,11.4
2018-19,Playoffs,HOU,Houston Rockets,11,6,5,242.3,234.9,234.9,18.3,2.2,35.5,47.8,21.6,7.8,9.2
2018-19,Playoffs,IND,Indiana Pacers,4,0,4,240.0,279.5,279.5,20.8,3.0,42.5,51.0,24.3,7.4,8.7
2018-19,Playoffs,LAC,LA Clippers,6,2,4,240.0,312.3,312.3,25.3,2.7,43.3,63.0,28.8,8.1,9.2
2018-19,Playoffs,MIL,Milwaukee Bucks,15,10,5,243.3,278.7,278.7,25.0,2.9,46.3,63.1,29.4,9.0,10.6
2018-19,Playoffs,OKC,Oklahoma City Thunder,5,1,4,240.0,228.6,228.6,22.6,3.2,43.2,54.8,25.8,9.9,11.3
2018-19,Playoffs,ORL,Orlando Magic,5,1,4,240.0,277.4,277.4,19.0,1.4,47.6,47.6,21.2,6.8,7.6
2018-19,Playoffs,PHI,Philadelphia 76ers,12,7,5,240.0,287.8,287.8,24.4,2.6,45.3,60.0,27.7,8.5,9.6
2018-19,Playoffs,POR,Portland Trail Blazers,16,8,8,247.8,248.4,248.4,19.8,2.4,37.5,49.3,23.1,8.0,9.3
2018-19,Playoffs,SAS,San Antonio Spurs,7,3,4,240.0,253.1,253.1,21.1,2.0,36.4,50.0,24.0,8.4,9.5
2018-19,Playoffs,TOR,Toronto Raptors,24,16,8,242.1,295.8,295.8,22.5,3.8,43.9,56.6,27.1,7.6,9.2
2018-19,Playoffs,UTA,Utah Jazz,5,1,4,240.0,271.2,271.2,23.0,2.8,47.4,56.8,26.8,8.5,9.9
2019-20,Regular+Season,ATL,Atlanta Hawks,67,20,47,243.0,271.2,271.5,24.0,2.6,45.7,60.5,28.6,8.8,10.5
2019-20,Regular+Season,BOS,Boston Celtics,72,48,24,242.1,283.0,283.1,23.0,2.4,40.4,58.6,27.3,8.1,9.7
2019-20,Regular+Season,BKN,Brooklyn Nets,72,35,37,242.8,277.0,277.4,24.5,3.4,45.4,62.8,30.0,8.8,10.8
2019-20,Regular+Season,CHA,Charlotte Hornets,64,23,41,242.3,307.6,307.7,23.8,3.2,44.7,61.7,29.5,7.7,9.6
2019-20,Regular+Season,CHI,Chicago Bulls,65,22,43,241.2,285.1,285.2,23.2,2.8,45.7,60.8,28.4,8.1,10.0
2019-20,Regular+Season,CLE,Cleveland Cavaliers,65,19,46,241.9,289.2,289.3,23.1,2.6,43.6,58.9,27.7,8.0,9.6
2019-20,Regular+Season,DAL,Dallas Mavericks,73,41,32,242.1,289.6,289.5,24.6,3.3,46.3,65.1,29.8,8.5,10.3
2019-20,Regular+Season,DEN,Denver Nuggets,73,46,27,243.1,305.5,305.2,26.7,3.0,45.5,66.8,31.8,8.8,10.4
